split,method,row_kind,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
multinli_tr_1_1::validation_matched,Meta_MLP_train_only_16feat,computed,0.8013049240493424,0.800692755684028,0.82063305978898,0.7518891687657431,0.829556038497361
multinli_tr_1_1::validation_matched,Meta_BiLSTM_train_only_16feat,computed,0.800795188092568,0.8001962313819514,0.8204147668774819,0.7509433962264151,0.829230531041957
multinli_tr_1_1::validation_matched,Meta_LinearSVC_train_only_16feat,computed,0.7999796105617291,0.7990122740002117,0.8193289360481789,0.7516413130504404,0.8260665729020159
multinli_tr_1_1::validation_matched,Meta_FlatLSTM_train_only_16feat,computed,0.7994698746049547,0.7988713238991281,0.8195136243773806,0.7487421383647799,0.8283582089552238
multinli_tr_1_1::validation_matched,mDeBERTa,computed,0.789173208278112,0.7876880262708962,0.8088419296538301,0.7446983396350485,0.8095238095238095
multinli_tr_1_1::validation_matched,Weighted_static_hand_weights,computed,0.74900601488429,0.7416598438167422,0.7797619047619048,0.6381507098653076,0.8070669168230143
multinli_tr_1_1::validation_matched,Majority_vote,computed,0.723009481088796,0.7155102659162562,0.745945945945946,0.6210166919575114,0.779568159845311
multinli_tr_1_1::validation_matched,Qwen,computed,0.7191354878173106,0.7147534313141786,0.7576397690466131,0.6169925826028321,0.7696279422930904
multinli_tr_1_1::validation_matched,Class_conditional_routing_computed,computed,0.6871240697318789,0.6804168496833123,0.7576397690466131,0.5623287671232877,0.7212820128800359
multinli_tr_1_1::validation_matched,BERT,computed,0.6299316953817923,0.6189802204772034,0.6666666666666666,0.5141078030745281,0.6761661916904155
multinli_tr_1_1::validation_matched,Gemma,computed,0.4003466204506066,0.35050461288640494,0.5108695652173914,0.22092480149462868,0.31971947194719474
multinli_tr_1_1::validation_matched,REF_published_static_weighted_84.08pct,reference_published,,,,,
multinli_tr_1_1::validation_mismatched,Meta_BiLSTM_train_only_16feat,computed,0.813027989821883,0.8120737446039303,0.8340266819681538,0.763787057698438,0.8384074941451991
multinli_tr_1_1::validation_mismatched,Meta_FlatLSTM_train_only_16feat,computed,0.8120101781170483,0.8111185361317528,0.8320435654915449,0.7628143903215536,0.8384976525821596
multinli_tr_1_1::validation_mismatched,Meta_MLP_train_only_16feat,computed,0.8107888040712469,0.8098964079464802,0.8311800172265289,0.7598600508905853,0.8386491557223265
