model_id,dataset,split,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
Llama-3.1-8B-Instruct,snli_tr_1_1,test,0.408082,0.31606,0.606427,0.093424,0.248328
Llama-3.1-8B-Instruct,multinli_tr_1_1,validation_matched,0.504944,0.426416,0.608455,0.080912,0.589879
Llama-3.1-8B-Instruct,multinli_tr_1_1,validation_mismatched,0.510941,0.430614,0.608269,0.071151,0.612422
Llama-3.1-8B-Instruct,trglue_mnli,test_matched,0.702265,0.698127,0.711285,0.60414,0.778956
Llama-3.1-8B-Instruct,trglue_mnli,test_mismatched,0.738635,0.726026,0.747494,0.567197,0.863386
Mistral-Nemo-Instruct-2407,snli_tr_1_1,test,0.442895,0.348728,0.694104,0.333113,0.018966
Mistral-Nemo-Instruct-2407,multinli_tr_1_1,validation_matched,0.473851,0.410912,0.674172,0.333778,0.224787
Mistral-Nemo-Instruct-2407,multinli_tr_1_1,validation_mismatched,0.478372,0.41732,0.681304,0.324162,0.246494
Mistral-Nemo-Instruct-2407,trglue_mnli,test_matched,0.672957,0.646206,0.769789,0.666566,0.502265
Mistral-Nemo-Instruct-2407,trglue_mnli,test_mismatched,0.717153,0.703366,0.810739,0.664039,0.63532
Qwen2-1.5B-Instruct,snli_tr_1_1,test,0.469768,0.389681,0.684287,0.451092,0.033664
Qwen2-1.5B-Instruct,multinli_tr_1_1,validation_matched,0.493322,0.458933,0.658572,0.457783,0.260445
Qwen2-1.5B-Instruct,multinli_tr_1_1,validation_mismatched,0.493944,0.458807,0.670625,0.43787,0.267926
Qwen2-1.5B-Instruct,trglue_mnli,test_matched,0.634769,0.614339,0.730809,0.638513,0.473697
Qwen2-1.5B-Instruct,trglue_mnli,test_mismatched,0.661929,0.645405,0.780557,0.624458,0.531201
Qwen2-7B-Instruct,snli_tr_1_1,test,0.741144,0.740292,0.797005,0.663909,0.759961
Qwen2-7B-Instruct,multinli_tr_1_1,validation_matched,0.713732,0.708581,0.75086,0.612588,0.762296
Qwen2-7B-Instruct,multinli_tr_1_1,validation_mismatched,0.721425,0.715024,0.757411,0.611481,0.776181
Qwen2-7B-Instruct,trglue_mnli,test_matched,0.818717,0.818052,0.825973,0.801596,0.826587
Qwen2-7B-Instruct,trglue_mnli,test_mismatched,0.879028,0.877804,0.892643,0.85111,0.889661
TabiBERT,snli_tr_1_1,test,0.333164,0.254605,0.041827,0.461066,0.260922
TabiBERT,multinli_tr_1_1,validation_matched,0.318993,0.211219,0.102046,0.470126,0.061486
TabiBERT,multinli_tr_1_1,validation_mismatched,0.319898,0.203039,0.074244,0.473335,0.061538
TabiBERT,trglue_mnli,test_matched,0.344028,0.193903,0.037979,0.506798,0.036931
TabiBERT,trglue_mnli,test_mismatched,0.325811,0.190379,0.047747,0.48433,0.03906
Trendyol-LLM-7b-chat-v1.0,snli_tr_1_1,test,0.327667,0.164533,0.0,0.493598,0.0
Trendyol-LLM-7b-chat-v1.0,multinli_tr_1_1,validation_matched,0.318381,0.160996,0.0,0.482988,0.0
Trendyol-LLM-7b-chat-v1.0,multinli_tr_1_1,validation_mismatched,0.318473,0.161031,0.0,0.483094,0.0
Trendyol-LLM-7b-chat-v1.0,trglue_mnli,test_matched,0.348357,0.172238,0.0,0.516713,0.0
Trendyol-LLM-7b-chat-v1.0,trglue_mnli,test_mismatched,0.330151,0.16547,0.0,0.496411,0.0
Turkish-Gemma-9b-T1,snli_tr_1_1,test,0.327667,0.164533,0.0,0.493598,0.0
